127.0.0.1-2009-12-30 16:18:41-/eni/application/app-php-mysql/compte.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/identification.php
127.0.0.1-2009-12-30 16:18:43-/eni/application/app-php-mysql/carnet.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/compte.php
127.0.0.1-2009-12-30 16:18:45-/eni/application/app-php-mysql/carnet-view.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/carnet.php
127.0.0.1-2009-12-30 16:24:28-/eni/application/app-php-mysql/carnet-view.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/carnet.php
127.0.0.1-2009-12-30 17:41:30-/eni/application/app-php-mysql/carnet-view.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-
127.0.0.1-2009-12-30 17:41:33-/eni/application/app-php-mysql/carnet-view.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/carnet-view.php
127.0.0.1-2009-12-30 17:41:54-/eni/application/app-php-mysql/carnet-view.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/carnet-view.php
127.0.0.1-2009-12-30 17:42:08-/eni/application/app-php-mysql/carnet-view.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/carnet-view.php
127.0.0.1-2009-12-30 17:42:20-/eni/application/app-php-mysql/carnet-view.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/carnet-view.php
127.0.0.1-2009-12-30 17:42:36-/eni/application/app-php-mysql/carnet-view.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/carnet-view.php
127.0.0.1-2009-12-30 17:42:46-/eni/application/app-php-mysql/carnet-view.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/carnet-view.php
