127.0.0.1-2009-12-31 08:44:50-/eni/application/app-php-mysqli/carnet-view-edit.php?carnetclef=c9abshavc9afwpub4l2f-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysqli/carnet-view.php
127.0.0.1-2009-12-31 08:45:04-/eni/application/app-php-mysqli/carnet-view-edit.php?carnetclef=c9abshavc9afwpub4l2f-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysqli/carnet-view.php
127.0.0.1-2009-12-31 08:45:11-/eni/application/app-php-mysqli/carnet-view-edit.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysqli/carnet-view-edit.php?carnetclef=c9abshavc9afwpub4l2f
127.0.0.1-2009-12-31 08:45:47-/eni/application/app-php-mysqli/carnet-view-edit.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysqli/carnet-view-edit.php?carnetclef=c9abshavc9afwpub4l2f
127.0.0.1-2009-12-31 08:57:42-/eni/application/app-php-mysqli/carnet-view-edit.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysqli/carnet-view-edit.php?carnetclef=c9abshavc9afwpub4l2f
127.0.0.1-2009-12-31 08:58:03-/eni/application/app-php-mysqli/carnet-view-edit.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysqli/carnet-view-edit.php?carnetclef=c9abshavc9afwpub4l2f
127.0.0.1-2009-12-31 08:58:20-/eni/application/app-php-mysqli/carnet.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysqli/carnet-view-edit.php
127.0.0.1-2009-12-31 08:58:37-/eni/application/app-php-mysqli/carnet-search.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysqli/carnet.php
127.0.0.1-2009-12-31 08:58:39-/eni/application/app-php-mysqli/carnet-view.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysqli/carnet-search.php
127.0.0.1-2009-12-31 08:58:46-/eni/application/app-php-mysqli/carnet-view.php?start=5-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysqli/carnet-view.php
